Date,Sales,Promotion,label
2026-01-01,120,0,0
2026-01-02,135,0,0
2026-01-03,150,1,1
2026-01-04,145,0,0
2026-01-05,180,1,1
2026-01-06,195,1,1
2026-01-07,160,0,1
2026-01-08,130,0,0
2026-01-09,175,1,1
2026-01-10,190,1,1
2026-01-11,140,0,0
2026-01-12,155,0,0
2026-01-13,165,1,1
2026-01-14,125,0,0
2026-01-15,185,1,1
2026-01-16,200,1,1
2026-01-17,145,0,0
2026-01-18,170,0,1
2026-01-19,190,1,1
2026-01-20,135,0,0
2026-01-21,155,1,0
2026-01-22,180,1,1
2026-01-23,125,0,0
2026-01-24,165,0,1
2026-01-25,195,1,1
2026-01-26,150,0,0
2026-01-27,175,1,1
2026-01-28,140,0,0
2026-01-29,185,1,1
2026-01-30,205,1,1
2026-01-31,130,0,0
2026-02-01,160,0,1
2026-02-02,180,1,1
2026-02-03,145,0,0
2026-02-04,170,1,1
2026-02-05,195,1,1
2026-02-06,135,0,0
2026-02-07,155,0,0
2026-02-08,185,1,1
2026-02-09,150,0,0
2026-02-10,175,1,1
2026-02-11,125,0,0
2026-02-12,190,1,1
2026-02-13,165,0,1
2026-02-14,140,0,0
2026-02-15,200,1,1
2026-02-16,155,0,0
2026-02-17,180,1,1
2026-02-18,130,0,0
2026-02-19,195,1,1
