id,calories,proteins,fat,carbohydrate
1,280,9.2,28.4,0
2,513,23.7,37,21.3
3,0,0,0.2,0
4,45,1.1,0.4,10.8
5,37,4.4,0.5,3.8
6,85,0.9,6.5,7.7
7,96,3.7,0.6,19.1
8,414,26.6,18.3,41.3
9,75,4.1,2.1,10.7
10,67,5,2.1,8.1
11,184,18.8,14,0
12,174,19.6,10,0
13,190,19.1,12,0
14,99,4.6,1,18
15,25,1.6,0.2,5.3
16,30,0.5,0.2,6.8
17,354,16.4,31.5,0
18,126,3.4,7.9,10.3
19,58,0.3,0.4,14.9
20,57,0.5,0.4,12.8
21,37,0.8,0.5,8.3
22,113,0.9,7.2,11.2
23,102,1,0.2,24.1
24,277,2.4,25,10.7
25,75,0.2,1.1,16.1
26,239,2.8,0.6,62.5
27,135,0.8,0.4,32.1
28,261,0.9,1.6,63.3
29,98,3.9,2.6,14.8
30,302,18.2,25,0
31,297,35.9,15.2,1.6
32,270,32.3,11.2,9.9
33,75,13.8,1.9,0.7
34,295,34,16,1.5
35,338,35.2,20.6,0.4
36,275,37.4,12.2,1.3
37,298,34.2,16.8,0.1
38,286,32.1,16.1,1.1
39,295,39.2,13.6,1
40,287,31,15.7,1.7
41,246,37.9,9,0.7
42,245,33.1,11.4,0.3
43,295,37.4,14.7,0.6
44,244,36.7,9.2,1
45,283,35.7,14.3,0.5
46,261,27.4,16.1,1.6
47,264,18.2,20.1,2.7
48,473,45.2,26.3,13.9
49,113,17.6,4.2,0
50,453,11.9,45,0
51,371,14.1,35,0
52,110,16.3,4.6,0.8
53,129,19.7,4.8,1.7
54,491,24.6,16.3,0.2
55,102.9,3.3,2.7,16.3
56,450,3.2,13.9,78.1
57,452,1.3,13.8,80.6
58,529,3.2,29.1,63.6
59,523,3.2,28.2,64.2
60,416,6.5,9.4,76.3
61,382,0.3,3.5,87.2
62,129,1.9,6.6,15.6
63,272,8.7,6.7,44.1
64,76,4.1,2.5,9.2
65,27,2,0.2,4.2
66,280,8.2,10.2,39
67,13,0.4,0.2,3
68,190,3.3,0.3,43.5
69,159,3.1,5.8,23.5
70,137,4.3,4.8,19.1
71,107,2.2,2.2,19.6
72,76,1.1,0.9,16
73,110,1.4,1.1,23.4
74,92,1.2,0.3,21
75,89,1.1,0.1,21
76,182,2.4,0.4,42.2
77,45,1.4,0.2,10.3
78,39,1.5,0.3,0.2
79,95,4.5,0.2,23.1
80,30,1.3,0.7,5.8
81,51,4.6,0.5,10
82,41,2.2,0.8,6.3
83,23,1.2,0.6,3.7
84,36,3.5,0.5,6.5
85,102,3.7,6.7,6.9
86,48,1.4,4.2,2.6
87,326,16,28.6,0
88,303,11.3,27,3.7
89,300,24,20.7,4.5
90,65,1.1,5.2,3.5
91,258,10.6,9.5,32.5
92,151,8.6,3.1,22.3
93,132,9.8,1.1,20.7
94,116,11.9,4.9,6.1
95,78,11.4,2,3.6
96,131,20.2,4.3,2.8
97,36,0.4,0.4,8.8
98,145,1.2,0.4,34.2
99,417,25.9,19.4,32
100,70,14.6,0.8,1
101,93,12.8,1.5,6.1
102,55,1.4,0.2,12.8
103,98,1.6,0.7,20.9
104,71,2.3,0.3,15.4
105,350,2.7,1.1,82.3
106,364,3.4,0.7,86.3
107,360,6.8,0.7,78.9
108,178,2.1,0.1,40.6
109,357,8.4,1.7,77.1
110,369,9.5,1.4,77.1
111,357,8.4,1.7,77.1
112,351,8,1.3,76.9
113,358,5.5,0.1,82.7
114,307,4.8,0.1,71.8
115,356,7,0.7,78
116,181,4,1.2,37.3
117,166,3.8,1,34.4
118,360,8,2.3,74.5
119,360,8,2.3,74.5
120,362,6.7,0.7,79.4
121,163,3,0.4,35.7
122,172,3,0.5,37.5
123,361,7.4,0.8,78.4
124,361,7.4,0.8,78.4
125,376,7.5,3.8,78
126,339,7.7,4.4,73
127,362,7.7,4.4,73
128,359,7.5,0.9,77.6
129,364,6.8,0.6,80.1
130,353,6.8,0.6,80
131,335,7.4,1.9,76.2
132,363,7.6,1.1,78.3
133,344,1.1,0.2,28.3
134,354,7.8,0.4,79.9
135,352,7.3,0.9,76.2
136,145,16.3,7,4.1
