ID,StudyHours,Marks,Pass
1,1,35,0
2,2,40,0
3,3,42,0
4,4,45,0
5,5,48,0
6,6,50,0
7,7,52,0
8,8,55,0
9,9,57,0
10,10,60,1
11,2,38,0
12,3,41,0
13,4,46,0
14,5,49,0
15,6,53,1
16,7,56,1
17,8,59,1
18,9,63,1
19,10,66,1
20,11,69,1
21,1,34,0
22,2,39,0
23,3,43,0
24,4,47,0
25,5,50,0
26,6,54,1
27,7,58,1
28,8,61,1
29,9,65,1
30,10,68,1
31,11,71,1
32,12,74,1
33,2,37,0
34,3,44,0
35,4,48,0
36,5,51,1
37,6,55,1
38,7,59,1
39,8,62,1
40,9,66,1
41,10,70,1
42,11,73,1
43,12,76,1
44,1,36,0
45,2,41,0
46,3,45,0
47,4,49,0
48,5,52,1
49,6,56,1
50,7,60,1
51,8,64,1
52,9,67,1
53,10,71,1
54,11,75,1
55,12,78,1
56,3,46,0
57,5,53,1
58,7,61,1
59,9,69,1
60,12,80,1
